#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        2.75000        19.88606        19.88804        19.61336        19.44730        19.87146        18.32342       -24.94619       -26.07008
        2.76000        19.89569        19.89732        19.62117        19.45499        19.88004        18.33110       -24.94548       -26.06937
        2.77000        19.90533        19.90665        19.62902        19.46269        19.88862        18.33881       -24.94471       -26.06859
        2.78000        19.91499        19.91602        19.63690        19.47042        19.89720        18.34656       -24.94387       -26.06776
        2.79000        19.92467        19.92544        19.64483        19.47817        19.90580        18.35434       -24.94298       -26.06687
        2.80000        19.93438        19.93490        19.65279        19.48594        19.91441        18.36216       -24.94202       -26.06591
        2.81000        19.94410        19.94441        19.66079        19.49374        19.92302        18.37001       -24.94101       -26.06490
        2.82000        19.95383        19.95396        19.66883        19.50156        19.93164        18.37789       -24.93994       -26.06383
        2.83000        19.96359        19.96355        19.67690        19.50941        19.94028        18.38580       -24.93881       -26.06270
        2.84000        19.97336        19.97318        19.68501        19.51728        19.94892        18.39375       -24.93762       -26.06151
        2.85000        19.98315        19.98286        19.69315        19.52518        19.95757        18.40172       -24.93637       -26.06026
        2.86000        19.99296        19.99257        19.70132        19.53310        19.96624        18.40973       -24.93507       -26.05896
        2.87000        20.00278        20.00232        19.70954        19.54104        19.97492        18.41776       -24.93371       -26.05760
