#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450
        2.59000        21.11821        20.28617        20.08867        20.08926        19.93611        19.73090       -24.94883
        2.60000        21.13208        20.30079        20.09605        20.09401        19.94674        19.74210       -24.94917
        2.61000        21.14638        20.31538        20.10364        20.09836        19.95765        19.75327       -24.94944
        2.62000        21.16107        20.32985        20.11145        20.10228        19.96884        19.76436       -24.94964
        2.63000        21.17617        20.34409        20.11960        20.10592        19.98027        19.77540       -24.94978
        2.64000        21.19166        20.35803        20.12816        20.10939        19.99192        19.78642       -24.94984
        2.65000        21.20764        20.37162        20.13716        20.11281        20.00374        19.79741       -24.94984
        2.66000        21.22415        20.38484        20.14662        20.11633        20.01574        19.80837       -24.94977
        2.67000        21.24133        20.39764        20.15649        20.12005        20.02792        19.81929       -24.94963
        2.68000        21.25927        20.41007        20.16661        20.12402        20.04025        19.83018       -24.94942
        2.69000        21.27804        20.42221        20.17681        20.12835        20.05264        19.84100       -24.94915
        2.70000        21.29772        20.43413        20.18697        20.13310        20.06508        19.85175       -24.94882
        2.71000        21.31828        20.44588        20.19698        20.13836        20.07751        19.86244       -24.94842
        2.72000        21.33979        20.45751        20.20684        20.14414        20.08989        19.87304       -24.94796
        2.73000        21.36223        20.46904        20.21657        20.15038        20.10221        19.88353       -24.94743
        2.74000        21.38551        20.48048        20.22622        20.15709        20.11459        19.89389       -24.94684
        2.75000        21.40945        20.49186        20.23583        20.16417        20.12700        19.90409       -24.94619
        2.76000        21.43406        20.50317        20.24541        20.17157        20.13939        19.91413       -24.94548
        2.77000        21.45932        20.51443        20.25499        20.17915        20.15175        19.92403       -24.94471
        2.78000        21.48512        20.52565        20.26455        20.18686        20.16405        19.93377       -24.94387
        2.79000        21.51136        20.53683        20.27408        20.19476        20.17626        19.94333       -24.94298
        2.80000        21.53803        20.54798        20.28359        20.20277        20.18839        19.95279       -24.94202
        2.81000        21.56517        20.55915        20.29306        20.21077        20.20044        19.96234       -24.94101
        2.82000        21.59273        20.57035        20.30249        20.21879        20.21240        19.97205       -24.93994
        2.83000        21.62073        20.58163        20.31186        20.22684        20.22424        19.98185       -24.93881
        2.84000        21.64927        20.59303        20.32115        20.23492        20.23594        19.99168       -24.93762
        2.85000        21.67830        20.60460        20.33034        20.24312        20.24743        20.00161       -24.93637
        2.86000        21.70773        20.61635        20.33940        20.25154        20.25867        20.01149       -24.93507
        2.87000        21.73768        20.62830        20.34837        20.26014        20.26965        20.02129       -24.93371
