#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        2.29000        19.10332        19.14983        18.93019        18.75710        19.13452        17.64681       -25.52390       -26.39525
        2.30000        19.11557        19.16065        18.94010        18.76756        19.14577        17.65641       -25.52255       -26.39390
        2.31000        19.12790        19.17156        18.95009        18.77808        19.15710        17.66609       -25.52108       -26.39243
        2.32000        19.14031        19.18256        18.96014        18.78865        19.16852        17.67586       -25.51950       -26.39085
        2.33000        19.15280        19.19365        18.97027        18.79928        19.18003        17.68571       -25.51781       -26.38915
        2.34000        19.16536        19.20484        18.98047        18.80996        19.19163        17.69565       -25.51599       -26.38734
        2.35000        19.17800        19.21611        18.99074        18.82070        19.20332        17.70567       -25.51407       -26.38542
        2.36000        19.19071        19.22748        19.00109        18.83148        19.21510        17.71577       -25.51203       -26.38338
        2.37000        19.20350        19.23893        19.01151        18.84230        19.22695        17.72596       -25.50987       -26.38122
        2.38000        19.21636        19.25047        19.02201        18.85318        19.23889        17.73624       -25.50761       -26.37896
        2.39000        19.22929        19.26210        19.03259        18.86410        19.25091        17.74660       -25.50523       -26.37658
        2.40000        19.24229        19.27382        19.04324        18.87507        19.26300        17.75706       -25.50274       -26.37409
        2.41000        19.25536        19.28562        19.05398        18.88608        19.27516        17.76760       -25.50014       -26.37149
        2.42000        19.26849        19.29751        19.06480        18.89714        19.28737        17.77823       -25.49743       -26.36878
        2.43000        19.28169        19.30949        19.07570        18.90825        19.29965        17.78895       -25.49461       -26.36596
        2.44000        19.29496        19.32155        19.08667        18.91942        19.31198        17.79975       -25.49168       -26.36303
        2.45000        19.30829        19.33369        19.09773        18.93063        19.32436        17.81064       -25.48864       -26.35999
        2.46000        19.32169        19.34592        19.10887        18.94191        19.33680        17.82162       -25.48549       -26.35684
        2.47000        19.33515        19.35824        19.12008        18.95324        19.34929        17.83268       -25.48224       -26.35358
        2.48000        19.34867        19.37064        19.13137        18.96463        19.36182        17.84383       -25.47887       -26.35022
        2.49000        19.36225        19.38313        19.14273        18.97609        19.37440        17.85506       -25.47540       -26.34675
        2.50000        19.37590        19.39570        19.15416        18.98761        19.38702        17.86637       -25.47183       -26.34318
        2.51000        19.38960        19.40836        19.16567        18.99919        19.39969        17.87776       -25.46815       -26.33949
        2.52000        19.40337        19.42110        19.17725        19.01084        19.41241        17.88924       -25.46436       -26.33571
        2.53000        19.41719        19.43393        19.18890        19.02255        19.42518        17.90079       -25.46047       -26.33181
        2.54000        19.43108        19.44684        19.20062        19.03433        19.43800        17.91241       -25.45647       -26.32782
        2.55000        19.44502        19.45984        19.21241        19.04618        19.45087        17.92412       -25.45237       -26.32372
        2.56000        19.45902        19.47292        19.22427        19.05810        19.46381        17.93589       -25.44817       -26.31951
        2.57000        19.47307        19.48608        19.23619        19.07008        19.47680        17.94774       -25.44386       -26.31521
        2.58000        19.48718        19.49934        19.24818        19.08213        19.48986        17.95966       -25.43945       -26.31080
        2.59000        19.50134        19.51267        19.26024        19.09425        19.50298        17.97165       -25.43494       -26.30629
        2.60000        19.51557        19.52609        19.27237        19.10643        19.51616        17.98371       -25.43033       -26.30168
        2.61000        19.52984        19.53960        19.28456        19.11868        19.52940        17.99585       -25.42562       -26.29696
