#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        1.75000        19.85915        19.71286        19.63620        19.39412        19.40133        19.32750       -24.59379       -25.97747
        1.76000        19.85703        19.71649        19.64259        19.39680        19.40438        19.32896       -24.60288       -25.98656
        1.77000        19.85598        19.72023        19.64900        19.40033        19.40738        19.33034       -24.61182       -25.99550
        1.78000        19.85571        19.72407        19.65540        19.40408        19.41054        19.33177       -24.62062       -26.00430
        1.79000        19.85611        19.72805        19.66173        19.40788        19.41389        19.33327       -24.62927       -26.01295
        1.80000        19.85720        19.73220        19.66795        19.41180        19.41739        19.33451       -24.63777       -26.02146
        1.81000        19.85888        19.73658        19.67401        19.41587        19.42110        19.33557       -24.64614       -26.02982
        1.82000        19.86115        19.74129        19.67980        19.42021        19.42488        19.33702       -24.65436       -26.03804
        1.83000        19.86400        19.74640        19.68520        19.42489        19.42865        19.33853       -24.66244       -26.04612
        1.84000        19.86730        19.75193        19.69016        19.43010        19.43230        19.34022       -24.67039       -26.05407
        1.85000        19.87102        19.75788        19.69458        19.43582        19.43567        19.34195       -24.67819       -26.06187
        1.86000        19.87514        19.76419        19.69860        19.44209        19.43850        19.34361       -24.68586       -26.06954
        1.87000        19.87955        19.77079        19.70230        19.44937        19.44031        19.34522       -24.69340       -26.07708
        1.88000        19.88415        19.77762        19.70577        19.45816        19.44068        19.34701       -24.70080       -26.08448
        1.89000        19.88883        19.78464        19.70904        19.46848        19.43966        19.34917       -24.70807       -26.09175
        1.90000        19.89352        19.79182        19.71217        19.47980        19.43773        19.35166       -24.71520       -26.09888
        1.91000        19.89819        19.79913        19.71524        19.49153        19.43540        19.35460       -24.72221       -26.10589
        1.92000        19.90285        19.80654        19.71831        19.50315        19.43279        19.35792       -24.72909       -26.11277
        1.93000        19.90751        19.81399        19.72148        19.51467        19.42989        19.36139       -24.73584       -26.11952
        1.94000        19.91222        19.82141        19.72486        19.52617        19.42692        19.36506       -24.74246       -26.12615
        1.95000        19.91699        19.82872        19.72855        19.53749        19.42416        19.36919       -24.74896       -26.13264
        1.96000        19.92189        19.83588        19.73258        19.54824        19.42220        19.37398       -24.75534       -26.13902
        1.97000        19.92695        19.84287        19.73698        19.55815        19.42145        19.37927       -24.76159       -26.14527
        1.98000        19.93218        19.84967        19.74175        19.56711        19.42206        19.38510       -24.76772       -26.15140
        1.99000        19.93769        19.85631        19.74682        19.57539        19.42377        19.39107       -24.77373       -26.15741
        2.00000        19.94350        19.86283        19.75206        19.58318        19.42625        19.39707       -24.77962       -26.16330
