#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        2.63000        21.01531        20.18323        19.95874        19.94505        19.81940        19.61453       -25.11064       -26.49433
        2.64000        21.03000        20.19637        19.96650        19.94773        19.83025        19.62476       -25.11150       -26.49518
        2.65000        21.04519        20.20917        19.97471        19.95036        19.84129        19.63495       -25.11229       -26.49597
        2.66000        21.06091        20.22159        19.98338        19.95308        19.85250        19.64512       -25.11301       -26.49669
        2.67000        21.07729        20.23360        19.99245        19.95601        19.86389        19.65525       -25.11367       -26.49735
        2.68000        21.09444        20.24524        20.00178        19.95919        19.87542        19.66535       -25.11425       -26.49794
        2.69000        21.11242        20.25659        20.01119        19.96273        19.88702        19.67538       -25.11478       -26.49846
        2.70000        21.13131        20.26772        20.02056        19.96669        19.89867        19.68534       -25.11523       -26.49891
        2.71000        21.15108        20.27868        20.02978        19.97116        19.91031        19.69524       -25.11562       -26.49930
        2.72000        21.17180        20.28952        20.03885        19.97615        19.92190        19.70505       -25.11595       -26.49963
        2.73000        21.19346        20.30026        20.04779        19.98160        19.93344        19.71475       -25.11621       -26.49989
        2.74000        21.21594        20.31092        20.05666        19.98753        19.94502        19.72432       -25.11641       -26.50009
        2.75000        21.23910        20.32151        20.06548        19.99382        19.95665        19.73374       -25.11655       -26.50023
        2.76000        21.26293        20.33203        20.07428        20.00044        19.96825        19.74299       -25.11662       -26.50030
        2.77000        21.28740        20.34250        20.08307        20.00723        19.97983        19.75211       -25.11663       -26.50031
        2.78000        21.31241        20.35294        20.09184        20.01415        19.99135        19.76106       -25.11658       -26.50026
        2.79000        21.33787        20.36333        20.10059        20.02127        20.00277        19.76984       -25.11647       -26.50015
        2.80000        21.36376        20.37371        20.10932        20.02850        20.01411        19.77852       -25.11630       -26.49998
        2.81000        21.39011        20.38409        20.11801        20.03571        20.02539        19.78729       -25.11607       -26.49975
        2.82000        21.41689        20.39451        20.12665        20.04295        20.03656        19.79622       -25.11578       -26.49946
        2.83000        21.44411        20.40501        20.13524        20.05022        20.04762        19.80523       -25.11543       -26.49911
        2.84000        21.47187        20.41563        20.14375        20.05752        20.05854        19.81428       -25.11502       -26.49870
        2.85000        21.50012        20.42642        20.15216        20.06494        20.06925        19.82343       -25.11455       -26.49824
        2.86000        21.52877        20.43739        20.16044        20.07258        20.07971        19.83253       -25.11403       -26.49771
        2.87000        21.55794        20.44857        20.16863        20.08041        20.08991        19.84156       -25.11345       -26.49713
        2.88000        21.58767        20.45994        20.17675        20.08844        20.09988        19.85054       -25.11282       -26.49650
