#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        2.31000        20.68631        20.01978        19.93058        19.85407        19.68386        19.51663       -25.48109       -26.23355
        2.32000        20.71875        20.02257        19.93624        19.86221        19.69681        19.51765       -25.48447       -26.23693
        2.33000        20.74845        20.02566        19.94184        19.87033        19.70901        19.52044       -25.48776       -26.24022
        2.34000        20.77561        20.02910        19.94737        19.87852        19.72004        19.52276       -25.49096       -26.24343
        2.35000        20.80032        20.03292        19.95285        19.88670        19.72989        19.52421       -25.49408       -26.24654
        2.36000        20.82229        20.03716        19.95828        19.89496        19.73887        19.52666       -25.49710       -26.24957
        2.37000        20.84125        20.04185        19.96369        19.90324        19.74722        19.53092       -25.50004       -26.25251
        2.38000        20.85782        20.04700        19.96908        19.91156        19.75516        19.53597       -25.50290       -26.25536
        2.39000        20.87270        20.05268        19.97446        19.91992        19.76286        19.54126       -25.50566       -26.25813
        2.40000        20.88635        20.05896        19.97982        19.92836        19.77041        19.54692       -25.50835       -26.26081
        2.41000        20.89912        20.06583        19.98517        19.93691        19.77779        19.55292       -25.51095       -26.26341
        2.42000        20.91130        20.07327        19.99050        19.94556        19.78506        19.55922       -25.51347       -26.26593
        2.43000        20.92302        20.08127        19.99581        19.95411        19.79224        19.56584       -25.51590       -26.26837
        2.44000        20.93435        20.08978        20.00108        19.96257        19.79933        19.57265       -25.51826       -26.27072
        2.45000        20.94537        20.09872        20.00629        19.97091        19.80641        19.57975       -25.52053       -26.27299
        2.46000        20.95615        20.10807        20.01140        19.97927        19.81350        19.58742       -25.52272       -26.27518
        2.47000        20.96686        20.11790        20.01632        19.98774        19.82064        19.59596       -25.52483       -26.27730
        2.48000        20.97743        20.12824        20.02099        19.99628        19.82785        19.60511       -25.52687       -26.27933
        2.49000        20.98781        20.13913        20.02544        20.00479        19.83515        19.61427       -25.52882       -26.28129
        2.50000        20.99817        20.15056        20.02966        20.01320        19.84256        19.62325       -25.53070       -26.28316
        2.51000        21.00859        20.16251        20.03364        20.02138        19.85012        19.63222       -25.53250       -26.28497
        2.52000        21.01915        20.17492        20.03748        20.02925        19.85785        19.64153       -25.53423       -26.28669
        2.53000        21.02991        20.18769        20.04130        20.03685        19.86581        19.65136       -25.53588       -26.28834
        2.54000        21.04092        20.20076        20.04526        20.04412        19.87400        19.66155       -25.53745       -26.28991
        2.55000        21.05222        20.21407        20.04952        20.05089        19.88241        19.67188       -25.53895       -26.29141
        2.56000        21.06383        20.22757        20.05422        20.05708        19.89106        19.68227       -25.54037       -26.29284
        2.57000        21.07580        20.24123        20.05940        20.06258        19.89999        19.69267       -25.54173       -26.29419
        2.58000        21.08814        20.25499        20.06511        20.06747        19.90922        19.70309       -25.54301       -26.29547
        2.59000        21.10086        20.26882        20.07131        20.07190        19.91876        19.71355       -25.54422       -26.29668
        2.60000        21.11395        20.28266        20.07792        20.07588        19.92861        19.72396       -25.54535       -26.29782
        2.61000        21.12747        20.29647        20.08473        20.07946        19.93875        19.73437       -25.54642       -26.29888
        2.62000        21.14139        20.31017        20.09177        20.08260        19.94916        19.74468       -25.54742       -26.29988
        2.63000        21.15572        20.32364        20.09915        20.08546        19.95982        19.75494       -25.54834       -26.30081
        2.64000        21.17043        20.33680        20.10693        20.08816        19.97069        19.76519       -25.54920       -26.30166
        2.65000        21.18564        20.34962        20.11516        20.09081        19.98174        19.77540       -25.54999       -26.30245
        2.66000        21.20138        20.36206        20.12385        20.09355        19.99297        19.78559       -25.55071       -26.30318
        2.67000        21.21778        20.37409        20.13294        20.09650        20.00438        19.79574       -25.55137       -26.30383
        2.68000        21.23495        20.38575        20.14229        20.09970        20.01593        19.80586       -25.55195       -26.30442
        2.69000        21.25295        20.39712        20.15172        20.10326        20.02755        19.81591       -25.55247       -26.30494
        2.70000        21.27186        20.40827        20.16111        20.10724        20.03922        19.82589       -25.55293       -26.30539
        2.71000        21.29165        20.41925        20.17035        20.11173        20.05087        19.83581       -25.55332       -26.30579
        2.72000        21.31238        20.43011        20.17944        20.11674        20.06249        19.84564       -25.55365       -26.30611
        2.73000        21.33406        20.44087        20.18840        20.12221        20.07405        19.85536       -25.55391       -26.30637
        2.74000        21.35657        20.45155        20.19729        20.12816        20.08565        19.86495       -25.55411       -26.30657
        2.75000        21.37975        20.46215        20.20612        20.13447        20.09729        19.87439       -25.55424       -26.30671
        2.76000        21.40359        20.47270        20.21494        20.14110        20.10891        19.88366       -25.55432       -26.30678
        2.77000        21.42808        20.48319        20.22375        20.14791        20.12052        19.89279       -25.55433       -26.30679
        2.78000        21.45312        20.49364        20.23254        20.15486        20.13205        19.90177       -25.55428       -26.30674
        2.79000        21.47859        20.50405        20.24131        20.16199        20.14349        19.91056       -25.55417       -26.30663
        2.80000        21.50450        20.51445        20.25006        20.16924        20.15485        19.91926       -25.55400       -26.30646
        2.81000        21.53087        20.52485        20.25876        20.17647        20.16614        19.92804       -25.55377       -26.30623
        2.82000        21.55767        20.53529        20.26743        20.18372        20.17733        19.93699       -25.55348       -26.30594
        2.83000        21.58490        20.54580        20.27603        20.19101        20.18842        19.94602       -25.55313       -26.30559
        2.84000        21.61268        20.55645        20.28456        20.19833        20.19935        19.95509       -25.55272       -26.30518
        2.85000        21.64095        20.56725        20.29299        20.20577        20.21008        19.96426       -25.55225       -26.30472
        2.86000        21.66962        20.57824        20.30129        20.21343        20.22056        19.97338       -25.55173       -26.30420
        2.87000        21.69881        20.58943        20.30950        20.22127        20.23077        19.98242       -25.55115       -26.30362
        2.88000        21.72855        20.60083        20.31763        20.22933        20.24077        19.99142       -25.55051       -26.30298
        2.89000        21.75865        20.61240        20.32571        20.23754        20.25060        20.00060       -25.54982       -26.30229
